Rank,Streamer,start_month,avg_avg_viewers
1,xqcow,21-Mar,69279.4375
1,xqcow,21-Feb,66857.64286
1,xqcow,21-Jan,70278.17241
1,xqcow,20-Dec,66653.34375
1,xqcow,20-Nov,58746.95455
1,xqcow,20-Oct,50755.93333
1,xqcow,20-Sep,53245.6
1,xqcow,20-Aug,41896.03448
1,xqcow,20-Jul,37953.67742
1,xqcow,20-Jun,32181.25
1,xqcow,20-May,31680.78571
1,xqcow,20-Apr,44789.14286
1,xqcow,20-Mar,22498.17241
1,xqcow,20-Feb,19371.31034
1,xqcow,20-Jan,20538.65625
1,xqcow,19-Dec,24361
1,xqcow,19-Nov,23163.39286
1,xqcow,19-Oct,17630.02778
1,xqcow,19-Sep,20729.33333
1,xqcow,19-Aug,20031.75
1,xqcow,19-Jul,17565.23333
1,xqcow,19-Jun,16339.89655
1,xqcow,19-May,13500.16667
1,xqcow,19-Apr,13181.33333
1,xqcow,19-Mar,12379.11765
1,xqcow,19-Feb,14885.46154
1,xqcow,19-Jan,16569.66667
1,xqcow,18-Dec,14061.51515
1,xqcow,18-Nov,15551.15385
1,xqcow,18-Oct,9527.206897
1,xqcow,18-Sep,8507.612903
1,xqcow,18-Aug,8952.540541
1,xqcow,18-Jul,9308.724138
1,xqcow,18-Jun,6612.25
1,xqcow,18-May,6862.2
1,xqcow,18-Apr,7894.9
1,xqcow,18-Mar,7816.6875
1,xqcow,18-Feb,7449.178571
1,xqcow,18-Jan,6712.785714
1,xqcow,17-Dec,5079.428571
1,xqcow,17-Nov,4765.185185
1,xqcow,17-Oct,3825.4
1,xqcow,17-Sep,3093.419355
1,xqcow,17-Aug,1715.066667
1,xqcow,17-Jul,1557.1
1,xqcow,17-Jun,1252.333333
1,xqcow,17-May,1220.555556
1,xqcow,17-Apr,1321.25
1,xqcow,17-Mar,1128.548387
1,xqcow,17-Feb,427.3846154
1,xqcow,17-Jan,271.1290323
1,xqcow,16-Dec,252.8947368
1,xqcow,16-Nov,27.21428571
1,xqcow,16-Oct,15.91666667
1,xqcow,16-Sep,12.28571429
1,xqcow,16-Aug,13.73333333
1,xqcow,16-Jul,13.57142857
1,xqcow,16-Jun,77.88888889
1,xqcow,16-May,81.65517241
1,xqcow,16-Apr,67.02857143
1,xqcow,16-Mar,18.08695652
1,xqcow,16-Feb,16.5
1,xqcow,16-Jan,24.5
1,xqcow,15-Dec,22.66666667
1,xqcow,15-Nov,12
1,xqcow,15-Oct,11.6
1,xqcow,15-Sep,11.58333333
1,xqcow,15-Aug,13.83783784
1,xqcow,15-Jul,23.86666667
2,gaules,21-Mar,17135.625
2,gaules,21-Feb,20689.78571
2,gaules,21-Jan,15246.38889
2,gaules,20-Dec,16472.36364
2,gaules,20-Nov,23188.95652
2,gaules,20-Oct,16133
2,gaules,20-Sep,14284.24
2,gaules,20-Aug,12316
2,gaules,20-Jul,8597.714286
2,gaules,20-Jun,32920.8
2,gaules,20-May,20737.85
2,gaules,20-Apr,16528.73913
2,gaules,20-Mar,10747.86957
2,gaules,20-Feb,7029.6
2,gaules,20-Jan,3858.166667
2,gaules,19-Dec,3322.3
2,gaules,19-Nov,5096.333333
2,gaules,19-Oct,6779.55
2,gaules,19-Sep,9121.785714
2,gaules,19-Aug,7874.125
2,gaules,19-Jul,5836.272727
2,gaules,19-Jun,5286.7
2,gaules,19-May,3193.384615
2,gaules,19-Apr,11319.53846
2,gaules,19-Mar,10469.21429
2,gaules,19-Feb,7214.764706
2,gaules,19-Jan,3095.903226
2,gaules,18-Dec,2881.333333
2,gaules,18-Nov,2529.869565
2,gaules,18-Oct,2364.291667
2,gaules,18-Sep,4724.769231
2,gaules,18-Aug,2768.769231
2,gaules,18-Jul,3170.190476
2,gaules,18-Jun,2149.466667
2,gaules,18-May,1672.9
2,gaules,18-Apr,1154.325
2,gaules,18-Mar,327.1875
2,gaules,18-Feb,179.7741935
2,gaules,18-Jan,104.195122
3,summit1g,21-Mar,39211.55556
3,summit1g,21-Feb,31074.44
3,summit1g,21-Jan,28940.36
3,summit1g,20-Dec,22840.10345
3,summit1g,20-Nov,14222.34615
3,summit1g,20-Oct,14819.55556
3,summit1g,20-Sep,19901.44828
3,summit1g,20-Aug,15990.30303
3,summit1g,20-Jul,14292.875
3,summit1g,20-Jun,20983.2963
3,summit1g,20-May,24691.35714
3,summit1g,20-Apr,83860.53333
3,summit1g,20-Mar,28693.96667
3,summit1g,20-Feb,30398.42308
3,summit1g,20-Jan,23689.94286
3,summit1g,19-Dec,12128.14815
3,summit1g,19-Nov,14593.80769
3,summit1g,19-Oct,14045.24242
3,summit1g,19-Sep,13546.82143
3,summit1g,19-Aug,21672.07692
3,summit1g,19-Jul,12908.72727
3,summit1g,19-Jun,9080.933333
3,summit1g,19-May,16457.46667
3,summit1g,19-Apr,33249.88462
3,summit1g,19-Mar,41039.03448
3,summit1g,19-Feb,21966.12
3,summit1g,19-Jan,36230.95833
3,summit1g,18-Dec,19006.33333
3,summit1g,18-Nov,11814.76
3,summit1g,18-Oct,12800.56
3,summit1g,18-Sep,11607.96154
3,summit1g,18-Aug,11682.1875
3,summit1g,18-Jul,14081.9
3,summit1g,18-Jun,15303.2381
3,summit1g,18-May,15341.54839
3,summit1g,18-Apr,19815
3,summit1g,18-Mar,21870.22727
3,summit1g,18-Feb,25228.26316
3,summit1g,18-Jan,28442.6
3,summit1g,17-Dec,21853.03704
3,summit1g,17-Nov,17825.2963
3,summit1g,17-Oct,18584.85714
3,summit1g,17-Sep,18413.06667
3,summit1g,17-Aug,19890.89655
3,summit1g,17-Jul,22788.62069
3,summit1g,17-Jun,15887.42857
3,summit1g,17-May,22418.71875
3,summit1g,17-Apr,24169.31034
3,summit1g,17-Mar,24102.97297
3,summit1g,17-Feb,21094.89655
3,summit1g,17-Jan,19739.2
3,summit1g,16-Dec,15913.13333
3,summit1g,16-Nov,15311.88889
3,summit1g,16-Oct,14848
3,summit1g,16-Sep,10766.95238
3,summit1g,16-Aug,11270.77778
3,summit1g,16-Jul,14365
3,summit1g,16-Jun,12802.58333
3,summit1g,16-May,13689.85185
3,summit1g,16-Apr,16046.69565
3,summit1g,16-Mar,16589.74074
3,summit1g,16-Feb,12891.27273
3,summit1g,16-Jan,13428.37838
3,summit1g,15-Dec,16032.96154
3,summit1g,15-Nov,13643.52381
3,summit1g,15-Oct,16059.82759
3,summit1g,15-Sep,12497.65217
3,summit1g,15-Aug,16144.95455
3,summit1g,15-Jul,15514
4,ibai,21-Mar,64296.72222
4,ibai,21-Feb,70413.45161
4,ibai,21-Jan,80245.30556
4,ibai,20-Dec,74456.47222
4,ibai,20-Nov,76188.02778
4,ibai,20-Oct,65954.71429
