rank,streamer,stream_start,avg_avg_viewers
1,xqcow,14-Mar-21,67543
1,xqcow,7-Mar-21,67435.625
1,xqcow,28-Feb-21,73299.33333
1,xqcow,21-Feb-21,66963.66667
1,xqcow,14-Feb-21,69796.71429
1,xqcow,7-Feb-21,65614.85714
1,xqcow,31-Jan-21,63093.28571
1,xqcow,24-Jan-21,54643.66667
1,xqcow,17-Jan-21,53397.28571
1,xqcow,10-Jan-21,70290.28571
1,xqcow,3-Jan-21,97170.66667
1,xqcow,27-Dec-20,86625.71429
1,xqcow,20-Dec-20,61923.14286
1,xqcow,13-Dec-20,59910.71429
1,xqcow,6-Dec-20,68326.125
1,xqcow,29-Nov-20,65181.42857
1,xqcow,22-Nov-20,65801.5
1,xqcow,15-Nov-20,50190
1,xqcow,8-Nov-20,58742.33333
1,xqcow,1-Nov-20,56871.14286
1,xqcow,25-Oct-20,50316.5
1,xqcow,18-Oct-20,51225.85714
1,xqcow,11-Oct-20,49114.57143
1,xqcow,4-Oct-20,52688.42857
1,xqcow,27-Sep-20,55779.71429
1,xqcow,20-Sep-20,55864.85714
1,xqcow,13-Sep-20,61049.42857
1,xqcow,6-Sep-20,47919.75
1,xqcow,30-Aug-20,41769.83333
1,xqcow,23-Aug-20,39639.71429
1,xqcow,16-Aug-20,39927.16667
1,xqcow,9-Aug-20,44660.71429
1,xqcow,2-Aug-20,41417.16667
1,xqcow,26-Jul-20,37517
1,xqcow,19-Jul-20,37307
1,xqcow,12-Jul-20,35556.57143
1,xqcow,5-Jul-20,37800.28571
1,xqcow,28-Jun-20,43557.85714
1,xqcow,21-Jun-20,30955
1,xqcow,14-Jun-20,31188.14286
1,xqcow,7-Jun-20,31806.83333
1,xqcow,31-May-20,29763.14286
1,xqcow,24-May-20,33279.66667
1,xqcow,17-May-20,30708.14286
1,xqcow,10-May-20,32510.57143
1,xqcow,3-May-20,29969.6
1,xqcow,26-Apr-20,31523.14286
1,xqcow,19-Apr-20,26545.14286
1,xqcow,12-Apr-20,40957.5
1,xqcow,5-Apr-20,81113.71429
1,xqcow,29-Mar-20,31976.66667
1,xqcow,22-Mar-20,24437
1,xqcow,15-Mar-20,20304.14286
1,xqcow,8-Mar-20,20499.42857
1,xqcow,1-Mar-20,21229.8
1,xqcow,23-Feb-20,21535.85714
1,xqcow,16-Feb-20,18610.75
1,xqcow,9-Feb-20,19763.57143
1,xqcow,2-Feb-20,17683.71429
1,xqcow,26-Jan-20,17929.14286
1,xqcow,19-Jan-20,18366.16667
1,xqcow,12-Jan-20,22177
1,xqcow,5-Jan-20,19932.28571
1,xqcow,29-Dec-19,23267.25
1,xqcow,22-Dec-19,27143.85714
1,xqcow,15-Dec-19,26622.14286
1,xqcow,8-Dec-19,23327
1,xqcow,1-Dec-19,22458.14286
1,xqcow,24-Nov-19,23111.14286
1,xqcow,17-Nov-19,20555.85714
1,xqcow,10-Nov-19,23331
1,xqcow,3-Nov-19,20323.16667
1,xqcow,27-Oct-19,21599.55556
1,xqcow,20-Oct-19,15454.22222
1,xqcow,13-Oct-19,19731.5
1,xqcow,6-Oct-19,19797.71429
1,xqcow,29-Sep-19,19133.42857
1,xqcow,22-Sep-19,25490.16667
1,xqcow,15-Sep-19,21312.57143
1,xqcow,8-Sep-19,17687.75
1,xqcow,1-Sep-19,18579.57143
1,xqcow,25-Aug-19,18630
1,xqcow,18-Aug-19,19035.71429
1,xqcow,11-Aug-19,19094.85714
1,xqcow,4-Aug-19,21949
1,xqcow,28-Jul-19,21379.28571
1,xqcow,21-Jul-19,19864.42857
1,xqcow,14-Jul-19,18766
1,xqcow,7-Jul-19,14438.57143
1,xqcow,30-Jun-19,15978
1,xqcow,23-Jun-19,14685.16667
1,xqcow,16-Jun-19,17424.42857
1,xqcow,9-Jun-19,17841.125
1,xqcow,2-Jun-19,15409.14286
1,xqcow,26-May-19,14221.71429
1,xqcow,19-May-19,13188.28571
1,xqcow,12-May-19,13967.33333
1,xqcow,5-May-19,13241
1,xqcow,28-Apr-19,13542.42857
1,xqcow,21-Apr-19,14460.28571
1,xqcow,14-Apr-19,14619.8
1,xqcow,7-Apr-19,12441.14286
1,xqcow,31-Mar-19,10270.33333
1,xqcow,24-Mar-19,10450.375
1,xqcow,17-Mar-19,11112
1,xqcow,10-Mar-19,13607.22222
1,xqcow,3-Mar-19,14495.66667
1,xqcow,24-Feb-19,15075.14286
1,xqcow,17-Feb-19,14528.57143
1,xqcow,10-Feb-19,14789.16667
1,xqcow,3-Feb-19,14177.33333
1,xqcow,27-Jan-19,15679
1,xqcow,20-Jan-19,15674.66667
1,xqcow,13-Jan-19,17747.42857
1,xqcow,6-Jan-19,17961.42857
1,xqcow,30-Dec-18,15510.71429
1,xqcow,23-Dec-18,13311.375
1,xqcow,16-Dec-18,14662.625
1,xqcow,9-Dec-18,14203.14286
1,xqcow,2-Dec-18,13548.85714
1,xqcow,25-Nov-18,16505
1,xqcow,18-Nov-18,17144.28571
1,xqcow,11-Nov-18,14529.42857
1,xqcow,4-Nov-18,13441.33333
1,xqcow,28-Oct-18,13615
1,xqcow,21-Oct-18,9043.833333
1,xqcow,14-Oct-18,8758.625
1,xqcow,7-Oct-18,9510.714286
1,xqcow,30-Sep-18,9638.571429
1,xqcow,23-Sep-18,9445.428571
1,xqcow,16-Sep-18,7592.142857
1,xqcow,9-Sep-18,7778.555556
1,xqcow,2-Sep-18,8334.8
1,xqcow,26-Aug-18,8784.9
1,xqcow,19-Aug-18,9122.1
1,xqcow,12-Aug-18,8894.75
1,xqcow,5-Aug-18,9668.5
1,xqcow,29-Jul-18,9512.666667
1,xqcow,22-Jul-18,9084
1,xqcow,15-Jul-18,8953.428571
1,xqcow,8-Jul-18,9731
1,xqcow,1-Jul-18,9283.571429
1,xqcow,24-Jun-18,8529
1,xqcow,17-Jun-18,6370.555556
1,xqcow,10-Jun-18,5691.333333
1,xqcow,3-Jun-18,6339.625
1,xqcow,27-May-18,5773.333333
1,xqcow,20-May-18,6289.666667
1,xqcow,13-May-18,7208
1,xqcow,6-May-18,7240.375
1,xqcow,29-Apr-18,8075
1,xqcow,22-Apr-18,6605
1,xqcow,15-Apr-18,7616.444444
1,xqcow,8-Apr-18,8110.8
1,xqcow,1-Apr-18,8949
